0.96428571	0.035714286
0.92857143	0.071428571
0.89285714	0.10714286
0.85714286	0.14285714
0.82142857	0.17857143
0.78571429	0.21428571
0.75	0.25
0.71428571	0.28571429
0.67857143	0.32142857
0.64285714	0.35714286
0.60714286	0.39285714
0.57142857	0.42857143
0.53571429	0.46428571
0.5	0.5
0.46428571	0.53571429
0.42857143	0.57142857
0.39285714	0.60714286
0.35714286	0.64285714
0.32142857	0.67857143
0.28571429	0.71428571
0.25	0.75
0.21428571	0.78571429
0.17857143	0.82142857
0.14285714	0.85714286
0.10714286	0.89285714
0.071428571	0.92857143
0.035714286	0.96428571
