MILLION	0.00207275916815
MORE	0.00170889899662
MR.	0.00144160834928
MOST	0.000787917303319
MARKET	0.000780371280468
MAY	0.000729897315629
M.	0.000703406739462
MANY	0.000696729059597
MADE	0.000559861082734
MUCH	0.000514597175811
MAKE	0.000514462643799
MONTH	0.000444909593632
MONEY	0.00043710673694
MONTHS	0.000405760778161
MY	0.000400318346769
MONDAY	0.000381985302598
MAJOR	0.000370892526705
MILITARY	0.000352045814852
MEMBERS	0.000336060965798
MIGHT	0.000273589191532
MEETING	0.000265737414108
MUST	0.000266507915631
ME	0.000263572671735
MARCH	0.000259793545218
MAN	0.000252883491878
MS.	0.0002389900041
MINISTER	0.000239772735806
MAKING	0.000211704466045
MOVE	0.000209955549889
MILES	0.000205968510263
